km_driven,new_price,year,engine_power,resale_price
16862,6.07,2019,81.8,6.06
18335,4.61,2018,67,4.5
15379,7.17,2019,83.83,6.97
28371,4.98,2017,73,4.74
32539,8.63,2018,88.5,8.39
7858,4.04,2019,53.3,3.8
20877,7.59,2019,78.9,7.27
12278,5.95,2018,67.04,5.63
1900,4.8,2018,53.3,4.45
16698,6.21,2019,84,5.85
37929,4.09,2015,67.1,3.69
12076,5.9,2019,81.8,5.5
2000,8.16,2018,81.8,7.75
15386,5.56,2017,84,5.11
6279,4.05,2018,53.64,3.6
46805,4.09,2018,67.1,3.63
23154,12.12,2019,98.96,11.65
24214,3.95,2017,53.3,3.46
1617,4.78,2018,53.3,4.29
4126,5.3,2018,67,4.8
18453,6.68,2019,81.86,6.17
35384,9.12,2017,88.5,8.61
53105,4.93,2017,67,4.41
64456,11,2018,88.5,10.46
600,6.8,2019,81.8,6.25
30953,4.05,2018,53.64,3.48
21799,5.69,2017,67.04,5.11
10393,6.62,2018,81.86,6.03
3906,7.96,2019,81.8,7.36
20689,6.68,2018,81.86,6.07
5354,7.37,2018,81.86,6.76
25717,9.47,2019,88.76,8.86
23876,4.09,2015,67.1,3.46
20024,9.1,2018,88.7,8.46
44202,4.66,2018,58.2,4
37430,10.57,2018,88.7,9.9
42225,4.98,2016,73,4.3
25692,10.65,2018,103.25,9.95
34688,11.2,2019,88.5,10.49
9565,6.59,2018,84,5.88
38171,5.72,2018,67,4.99
2100,4.33,2018,67.1,3.6
27509,4.04,2017,53.64,3.31
30000,4.48,2017,67.1,3.75
15000,4.98,2017,67,4.25
46493,6.32,2018,81.86,5.53
13574,10.3,2019,83.1,9.51
58829,9.89,2017,88.5,9.05
1000,7.39,2019,81.86,6.5
8896,8.24,2018,94.68,7.34
35027,3.91,2016,67.1,3
39867,5.44,2017,67.04,4.5
9434,6.71,2018,81.86,5.75
51349,3.91,2014,67.1,2.93
2800,9.4,2015,99,8.41
15134,7.36,2017,83.1,6.37
21134,9.78,2019,81.86,8.78
10000,4.53,2016,67.1,3.5
51264,4.24,2016,67.1,3.2
10000,7.54,2018,81.86,6.5
1000,4.45,2018,53.3,3.4
1000,6.74,2019,75,5.68
21954,4.78,2017,53.3,3.7
20667,8.63,2018,81.86,7.55
10601,20.74,2019,171.5,19.65
14165,20.74,2019,171.5,19.64
37832,6.33,2017,67,5.23
10000,6.96,2018,81.86,5.85
21789,11,2017,88.5,9.88
55000,4.87,2016,73,3.75
30000,4.87,2018,67.04,3.75
7500,6.14,2017,67.04,5
53285,5.42,2017,67,4.28
12153,7.98,2019,81.86,6.84
13913,9.36,2019,88.7,8.2
26927,12.56,2017,88.5,11.39
14000,5.67,2018,67,4.5
8000,9.1,2017,88.7,7.9
1001,8.44,2018,94.68,7.23
13000,12.12,2018,98.96,10.9
38053,5.13,2017,73,3.91
54885,4.98,2013,73,3.75
35000,4.24,2016,67.1,3
18108,12.56,2017,88.5,11.31
45000,11,2017,88.5,9.75
25082,9.62,2018,73.75,8.37
24773,8.78,2017,83.1,7.5
6000,8.78,2017,83.1,7.5
34630,8.57,2018,83.1,7.29
